CORP_KEY|CIFID|CORP_REP_KEY|TYPE|STR1|STR2|STR3|STR4|STR5|STR6|STR7|STR8|STR9|STR10|STR11|DATE1|STR12|DATE2|AMOUNT1|AMOUNT2|AMOUNT3|AMOUNT4|SMALL_STR1|SMALL_STR2|SMALL_STR3|SMALL_STR4|SMALL_STR5|SMALL_STR6|SMALL_STR7|SMALL_STR8|SMALL_STR9|SMALL_STR10|MED_STR1|MED_STR2|MED_STR3|MED_STR4|MED_STR5|MED_STR6|MED_STR7|MED_STR8|MED_STR9|MED_STR10|LARGE_STR1|LARGE_STR2|LARGE_STR3|LARGE_STR4|LARGE_STR5|DATE3|DATE4|DATE5|DATE6|DATE7|DATE8|DATE9|DATE10|NUMBER1|NUMBER2|NUMBER3|NUMBER4|NUMBER5|NUMBER6|NUMBER7|NUMBER8|NUMBER9|NUMBER10|DECIMAL1|DECIMAL2|DECIMAL3|DECIMAL4|DECIMAL5|DECIMAL6|DECIMAL7|DECIMAL8|DECIMAL9|DECIMAL10|ENTITYTYPE|STR43|STR44|STR45|STR46|STR47|STR48|STR49|STR50|ORGKEY|STR21|STR22|STR23|STR24|STR25|STR26|STR27|STR28|STR29|STR30|STR31|STR32|STR38|STR39|STR40|STR41|STR42|DBFLOAT1|DBFLOAT2|DBFLOAT3|DBFLOAT4|DBFLOAT5|AMOUNT5|FLAG1|FLAG2|FLAG3|FLAG4|FLAG5|INT1|INT2|INT3|INT4|INT5|INT6|INT7|INT8|INT9|INT10|INT11|INT12|INT13|INT14|INT15|MLUSERFIELD1|MLUSERFIELD2|MLUSERFIELD3|MLUSERFIELD4|MLUSERFIELD5|STR1_CODE|STR2_CODE|STR3_CODE|STR4_CODE|STR5_CODE|CORE_CUST_ID|CORE_CHILD_CUST_ID|PERCENTAGE1|PERCENTAGE2|PERCENTAGE3|PERCENTAGE4|PERCENTAGE5|BANK_ID|STR4_ALT1|STR5_ALT1|STR1_ALT1
C000000105|C000000105||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000000105||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000000123|C000000123||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000000123||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000000125|C000000125||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000000125||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000000199|C000000199||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000000199||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000000223|C000000223||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000000223||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000000240|C000000240||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000000240||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000000661|C000000661||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000000661||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000000674|C000000674||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000000674||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000000682|C000000682||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000000682||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000000740|C000000740||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000000740||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000000744|C000000744||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000000744||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000000755|C000000755||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000000755||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000000759|C000000759||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000000759||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000000833|C000000833||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000000833||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000000838|C000000838||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000000838||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000000843|C000000843||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000000843||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000000848|C000000848||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000000848||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000117878|C000117878||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000117878||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000117953|C000117953||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000117953||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000117960|C000117960||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000117960||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000117733|C000117733||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000117733||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000118001|C000118001||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000118001||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000121246|C000121246||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000121246||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000120312|C000120312||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000120312||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000121040|C000121040||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000121040||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000121132|C000121132||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000121132||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000120020|C000120020||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000120020||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000121333|C000121333||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000121333||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000121438|C000121438||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000121438||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000121287|C000121287||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000121287||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000121352|C000121352||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000121352||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000121472|C000121472||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000121472||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000121492|C000121492||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000121492||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000121389|C000121389||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000121389||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000121390|C000121390||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000121390||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000121380|C000121380||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000121380||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000121496|C000121496||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000121496||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000121525|C000121525||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000121525||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000121619|C000121619||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000121619||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000121245|C000121245||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000121245||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000121332|C000121332||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000121332||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000121761|C000121761||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000121761||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000121784|C000121784||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000121784||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000121823|C000121823||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000121823||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000117997|C000117997||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000117997||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000118071|C000118071||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000118071||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000118122|C000118122||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000118122||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000118155|C000118155||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000118155||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000118162|C000118162||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000118162||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000118189|C000118189||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000118189||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000117841|C000117841||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000117841||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000117847|C000117847||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000117847||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000117904|C000117904||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000117904||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000118069|C000118069||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000118069||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000118103|C000118103||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000118103||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000118172|C000118172||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000118172||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000118113|C000118113||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000118113||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000118175|C000118175||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000118175||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000118257|C000118257||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000118257||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000118269|C000118269||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000118269||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000000882|C000000882||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000000882||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000000911|C000000911||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000000911||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000000925|C000000925||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000000925||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000000945|C000000945||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000000945||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000000436|C000000436||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000000436||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000000440|C000000440||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000000440||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000000443|C000000443||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000000443||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000000445|C000000445||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000000445||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000000447|C000000447||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000000447||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000000451|C000000451||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000000451||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000000465|C000000465||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000000465||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000000470|C000000470||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000000470||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000000473|C000000473||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000000473||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000000484|C000000484||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000000484||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000000491|C000000491||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000000491||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000358692|C000358692||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000358692||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000358855|C000358855||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000358855||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000358871|C000358871||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000358871||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000359037|C000359037||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000359037||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000358641|C000358641||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000358641||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000358718|C000358718||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000358718||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000359123|C000359123||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000359123||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
C000359387|C000359387||CURRENCY|NPR|||||||||||31-12-2099|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||CUSTOMER|||||||||C000359387||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||01|||
